date,sales,invoices,customers,products,source,future_ratio,target,fold_id,score,prediction
2023-01-28,151809.35368821298,222.0,123.0,1070.0,localized_development,1.1539807866111806,0,-1,,-1
2023-01-29,243430.25151432573,146.0,120.0,767.0,localized_development,0.9596207648138118,0,-1,,-1
2023-01-30,121503.43729982409,157.0,122.0,916.0,localized_development,1.00701331840547,0,-1,,-1
2023-01-31,184604.38769682762,256.0,204.0,1056.0,localized_development,1.0167651978945142,0,-1,,-1
2023-02-01,80017.24058544872,157.0,137.0,438.0,localized_development,1.035987220953962,0,-1,,-1
2023-02-02,105943.52686190055,170.0,155.0,684.0,localized_development,1.0297585528107738,0,-1,,-1
2023-02-03,126558.94264341982,191.0,148.0,1003.0,localized_development,1.0994270494704477,0,-1,,-1
2023-02-04,198818.98040833275,192.0,162.0,1065.0,localized_development,1.026728719969737,0,-1,,-1
2023-02-05,82246.5980636534,182.0,159.0,801.0,localized_development,1.0899217539146797,0,-1,,-1
2023-02-06,145536.46984834565,225.0,206.0,760.0,localized_development,1.0586427171978565,0,-1,,-1
2023-02-07,182146.94689842267,177.0,144.0,862.0,localized_development,0.978269775716163,0,-1,,-1
2023-02-08,84365.38598745548,205.0,196.0,705.0,localized_development,1.0246412645385066,0,-1,,-1
2023-02-09,119436.23114238292,264.0,205.0,910.0,localized_development,1.0311359155806499,0,-1,,-1
2023-02-10,203104.29022230065,245.0,199.0,822.0,localized_development,0.9648699893125847,0,-1,,-1
2023-02-11,146235.32784912933,229.0,187.0,878.0,localized_development,0.968140732621399,0,-1,,-1
2023-02-12,128023.81138159406,220.0,192.0,741.0,localized_development,1.0513626925955086,0,-1,,-1
2023-02-13,122988.26776240738,198.0,161.0,706.0,localized_development,1.0793907382790155,0,-1,,-1
2023-02-14,120022.50770651658,219.0,201.0,795.0,localized_development,1.1177883951434517,0,-1,,-1
2023-02-15,118744.57647603017,255.0,196.0,836.0,localized_development,1.1459548298180704,0,-1,,-1
2023-02-16,138981.8828813087,202.0,161.0,741.0,localized_development,1.0528399364967458,0,-1,,-1
2023-02-17,136386.37319676427,207.0,173.0,860.0,localized_development,1.0393250931022946,0,-1,,-1
2023-02-18,148061.68572060508,243.0,207.0,820.0,localized_development,0.9587953154136003,0,-1,,-1
2023-02-19,178009.66000948375,183.0,155.0,631.0,localized_development,0.8747953487309129,0,-1,,-1
2023-02-20,145440.45310324826,144.0,132.0,558.0,localized_development,1.0088973208160954,0,-1,,-1
2023-02-21,134320.7145627077,240.0,189.0,783.0,localized_development,1.063625621859753,0,-1,,-1
2023-02-22,162766.91884173456,199.0,186.0,668.0,localized_development,1.102701918343046,0,-1,,-1
2023-02-23,72540.05110231337,125.0,96.0,623.0,localized_development,1.3008454750364236,0,-1,,-1
2023-02-24,128888.96202390864,189.0,168.0,517.0,localized_development,1.3463331538636458,0,-1,,-1
2023-02-25,95845.51146322959,129.0,109.0,575.0,localized_development,1.3346380208676742,0,-1,,-1
2023-02-26,123927.61147094445,187.0,168.0,709.0,localized_development,1.4227865766081567,0,-1,,-1
2023-02-27,293143.7003154968,154.0,138.0,567.0,localized_development,1.205268497821371,0,-1,,-1
2023-02-28,214426.6228564015,253.0,216.0,1056.0,localized_development,1.18874516565175,0,-1,,-1
2023-03-01,157698.77037900386,197.0,175.0,670.0,localized_development,1.2962728471800593,0,-1,,-1
2023-03-02,249980.63967199592,278.0,253.0,787.0,localized_development,1.1048637574234539,0,-1,,-1
2023-03-03,181331.9132109436,226.0,124.0,921.0,localized_development,1.0178149475457516,0,-1,,-1
2023-03-04,65737.92247458194,189.0,175.0,615.0,localized_development,1.1428488865448212,0,-1,,-1
2023-03-05,166373.41954997217,185.0,167.0,672.0,localized_development,1.0915298968726121,0,-1,,-1
2023-03-06,141728.9629255874,191.0,171.0,735.0,localized_development,1.132606447024293,0,-1,,-1
2023-03-07,207149.77556228003,249.0,188.0,787.0,localized_development,1.0921378581961971,0,-1,,-1
2023-03-08,288705.1035143189,294.0,261.0,866.0,localized_development,0.913523496576252,0,-1,,-1
2023-03-09,97657.73725080879,149.0,113.0,691.0,localized_development,0.9254099078783921,0,-1,,-1
2023-03-10,104767.76278417937,224.0,213.0,737.0,localized_development,1.0337680476376137,0,-1,,-1
2023-03-11,159420.18959372942,228.0,201.0,781.0,localized_development,0.9890077319417684,0,-1,,-1
2023-03-12,136980.42564647176,257.0,229.0,945.0,localized_development,1.0062035671669203,0,-1,,-1
2023-03-13,183416.34177976823,255.0,216.0,1021.0,localized_development,0.9573607793581365,0,-1,,-1
2023-03-14,171882.40869143768,315.0,290.0,998.0,localized_development,0.9045964059393099,0,-1,,-1
2023-03-15,148467.5525431018,271.0,190.0,769.0,localized_development,0.8135950208051089,1,-1,,-1
2023-03-16,105664.57010320722,225.0,206.0,1077.0,localized_development,0.8703904072878128,0,-1,,-1
2023-03-17,197686.60707189338,269.0,232.0,1046.0,localized_development,0.804159356408506,1,-1,,-1
2023-03-18,114899.80358058777,234.0,214.0,760.0,localized_development,0.8800258961401216,0,-1,,-1
2023-03-19,157646.21792862008,247.0,196.0,931.0,localized_development,0.9423377973239061,0,-1,,-1
2023-03-20,145470.55408012087,192.0,164.0,843.0,localized_development,0.9310312077627366,0,-1,,-1
2023-03-21,126196.82269758197,141.0,115.0,648.0,localized_development,0.9218308444351547,0,-1,,-1
2023-03-22,54313.452525709,100.0,96.0,446.0,localized_development,1.0232540061383992,0,-1,,-1
2023-03-23,161373.04345294516,225.0,182.0,965.0,localized_development,1.0190709183076228,0,-1,,-1
2023-03-24,137144.28952324786,240.0,212.0,826.0,localized_development,1.0312408391531234,0,-1,,-1
2023-03-25,192233.51704561987,206.0,175.0,772.0,localized_development,0.9998797589819854,0,-1,,-1
2023-03-26,221841.58105475196,312.0,261.0,842.0,localized_development,0.9216969928135853,0,-1,,-1
2023-03-27,133016.2947099588,226.0,190.0,748.0,localized_development,0.9323128270816164,0,-1,,-1
2023-03-28,114184.5971649544,217.0,202.0,797.0,localized_development,1.1135366673242089,0,-1,,-1
2023-03-29,138145.28474579807,243.0,212.0,876.0,localized_development,1.1562751149453359,0,-1,,-1
2023-03-30,179516.42288589204,246.0,224.0,747.0,localized_development,1.1375583129182583,0,-1,,-1
2023-03-31,152601.04101572876,296.0,267.0,865.0,localized_development,1.1406285733394914,0,-1,,-1
2023-04-01,181916.37994130675,304.0,268.0,938.0,localized_development,1.0279880500244818,0,-1,,-1
2023-04-02,156732.58597026044,216.0,188.0,879.0,localized_development,1.0740281943207126,0,-1,,-1
2023-04-03,107858.07983968344,261.0,254.0,903.0,localized_development,1.2429179610783616,0,-1,,-1
