date,y,fold_id,ensemble_score,triage_state
2023-07-08,0,0,0.6305882352941177,WATCH
2023-07-09,0,0,0.3376470588235294,WATCH
2023-07-10,0,0,0.3023529411764705,WATCH
2023-07-11,0,0,0.7717647058823529,WATCH
2023-07-12,0,0,0.6752941176470588,WATCH
2023-07-13,1,0,0.5623529411764706,WATCH
2023-07-14,1,0,0.6752941176470588,WATCH
2023-07-15,0,0,0.2976470588235294,WATCH
2023-07-16,0,0,0.4141176470588235,WATCH
2023-07-17,0,0,0.4588235294117647,WATCH
2023-07-18,0,0,0.2094117647058823,WATCH
2023-07-19,0,0,0.3388235294117647,WATCH
2023-07-20,0,0,0.6447058823529412,WATCH
2023-07-21,0,0,0.3423529411764706,WATCH
2023-07-22,0,0,0.2905882352941176,WATCH
2023-07-23,0,0,0.1552941176470588,WATCH
2023-07-24,0,0,0.1341176470588235,WATCH
2023-07-25,0,0,0.311764705882353,WATCH
2023-07-26,0,0,0.2847058823529412,WATCH
2023-07-27,0,0,0.3505882352941177,WATCH
2023-07-28,0,0,0.2776470588235294,WATCH
2023-07-29,0,0,0.5564705882352942,WATCH
2023-07-30,0,0,0.0929411764705882,WATCH
2023-07-31,0,0,0.0811764705882353,WATCH
2023-08-01,0,0,0.5270588235294118,WATCH
2023-08-02,0,0,0.1576470588235294,WATCH
2023-08-03,0,0,0.1576470588235294,WATCH
2023-08-04,0,0,0.54,WATCH
2023-08-05,0,0,0.448235294117647,WATCH
2023-08-06,0,0,0.703529411764706,WATCH
2023-08-07,0,0,0.5823529411764705,WATCH
2023-08-08,0,0,0.6164705882352941,WATCH
2023-08-09,0,0,0.4705882352941176,WATCH
2023-08-10,0,0,0.8505882352941176,WATCH
2023-08-11,0,0,0.7635294117647059,WATCH
2023-08-12,0,0,0.8505882352941176,WATCH
2023-08-13,0,0,0.42,WATCH
2023-08-14,0,0,0.1517647058823529,WATCH
2023-08-15,0,0,0.4341176470588235,WATCH
2023-08-16,0,0,0.3505882352941176,WATCH
2023-08-17,0,0,0.3529411764705881,WATCH
2023-08-18,1,0,0.3811764705882353,WATCH
2023-08-19,0,0,0.2776470588235293,WATCH
2023-08-20,0,0,0.3541176470588235,WATCH
2023-08-21,0,0,0.6576470588235295,WATCH
2023-08-22,0,0,0.5976470588235294,WATCH
2023-08-23,0,0,0.3917647058823529,WATCH
2023-08-24,0,0,0.4164705882352941,WATCH
2023-08-25,0,0,0.0505882352941176,WATCH
2023-08-26,0,0,0.14,WATCH
2023-08-27,0,0,0.8647058823529412,WATCH
2023-08-28,0,0,0.7764705882352941,WATCH
2023-08-29,0,0,0.5929411764705882,WATCH
2023-08-30,0,0,0.6870588235294118,WATCH
2023-08-31,0,0,0.4552941176470588,WATCH
2023-09-01,0,0,0.8658823529411764,WATCH
2023-09-02,0,0,0.8458823529411765,WATCH
2023-09-03,0,0,0.9611764705882352,WATCH
2023-09-04,0,0,0.9717647058823528,WATCH
2023-09-05,1,0,0.9517647058823532,WATCH
2023-09-06,1,0,0.92,WATCH
2023-09-07,1,0,0.9729411764705884,WATCH
2023-09-08,1,0,0.9882352941176472,WATCH
2023-09-09,0,0,0.9494117647058824,WATCH
2023-09-10,0,0,0.348235294117647,WATCH
2023-09-11,0,0,0.8305882352941176,WATCH
2023-09-12,0,0,0.4894117647058823,WATCH
2023-09-13,0,0,0.6717647058823528,WATCH
2023-09-14,0,0,0.7235294117647059,WATCH
2023-09-15,0,0,0.6658823529411764,WATCH
2023-09-16,0,0,0.6776470588235295,WATCH
2023-09-17,0,0,0.4917647058823529,WATCH
2023-09-18,0,0,0.1717647058823529,WATCH
2023-09-19,0,0,0.5176470588235293,WATCH
2023-09-20,0,0,0.5529411764705883,WATCH
2023-09-21,0,0,0.6435294117647059,WATCH
2023-09-22,0,0,0.3305882352941176,WATCH
2023-09-23,0,0,0.7,WATCH
2023-09-24,0,0,0.4447058823529412,WATCH
2023-09-25,0,0,0.4105882352941177,WATCH
2023-09-26,0,0,0.6305882352941177,WATCH
2023-09-27,0,0,0.3317647058823529,WATCH
2023-09-28,0,0,0.1364705882352941,WATCH
2023-09-29,0,0,0.3647058823529411,WATCH
2023-09-30,0,0,0.2211764705882352,WATCH
2023-10-08,0,1,0.74,GREEN
2023-10-09,0,1,0.5047058823529411,GREEN
2023-10-10,0,1,0.5952941176470588,GREEN
2023-10-11,0,1,0.6694117647058824,GREEN
2023-10-12,0,1,0.788235294117647,WATCH
2023-10-13,1,1,0.6105882352941177,GREEN
2023-10-14,1,1,0.6152941176470588,GREEN
