SAMAWeekStart,BaseWeeklyNetSalesSAR,BaseGrossPositiveSAR,ObservedDaysInWeek,WeekCoverageFraction,week_start,week_end,SAMAOfficialNationalPOSValueThousandSAR,SAMAWeeklyMarketIndex,SAMATargetMerchantFullWeekSAR,SAMATargetMerchantWeeklySAR,SAMANationalCalibrationFactor
2023-01-01,1622478.1099999999,1659540.66,7,1.0,2023-01-01,2023-01-07,11173806.0,0.9393563649455273,986154.9487500952,986154.9487500952,0.6078078605017946
2023-01-08,1645498.88,1696827.6,7,1.0,2023-01-08,2023-01-14,10673810.0,0.8973228425228806,942027.3229657158,942027.3229657158,0.572487368065371
2023-01-15,985910.7899999999,1004377.0999999999,7,1.0,2023-01-15,2023-01-21,9712989.0,0.8165488142353547,857229.1455127499,857229.1455127499,0.8694794237039946
2023-01-22,1084493.25,1093595.82,7,1.0,2023-01-22,2023-01-28,10105444.0,0.8495416102624825,891865.6373591018,891865.6373591018,0.8223800723140525
2023-01-29,936693.6,946178.1600000001,7,1.0,2023-01-29,2023-02-04,12020455.0,1.0105322138035409,1060876.7670100792,1060876.7670100792,1.1325760814529737
2023-02-05,978956.3899999999,995264.52,7,1.0,2023-02-05,2023-02-11,10912252.0,0.9173681171920794,963071.2500116902,963071.2500116902,0.9837733936357372
2023-02-12,750804.7999999999,758667.34,7,1.0,2023-02-12,2023-02-18,10347280.0,0.869872210764493,913209.1051252263,913209.1051252263,1.216306961709923
2023-02-19,574481.3,586469.9400000001,7,1.0,2023-02-19,2023-02-25,10399437.0,0.8742569307002483,917812.2711066259,917812.2711066259,1.5976364611113119
2023-02-26,988467.24,1028682.6499999999,7,1.0,2023-02-26,2023-03-04,14574055.0,1.2252075369230668,1286247.1803793681,1286247.1803793681,1.3012542331492627
2023-03-05,997562.8699999999,1014893.2699999999,7,1.0,2023-03-05,2023-03-11,13209340.0,1.1104790619892229,1165802.9511808762,1165802.9511808762,1.1686511058504778
2023-03-12,1045005.6900000001,1058930.0899999999,7,1.0,2023-03-12,2023-03-18,11999164.0,1.0087423280326535,1058997.709416468,1058997.709416468,1.0133894193594946
2023-03-19,869842.95,881620.81,7,1.0,2023-03-19,2023-03-25,11040364.0,0.928138200601967,974377.8972538449,974377.8972538449,1.1201768057714843
2023-03-26,1083075.17,1098617.13,7,1.0,2023-03-26,2023-04-01,12704203.0,1.0680133474314895,1121221.6015183907,1121221.6015183907,1.035220483836215
2023-04-02,1242170.4300000002,1254426.46,7,1.0,2023-04-02,2023-04-08,12580793.0,1.0576385504287558,1110329.9337889485,1110329.9337889485,0.8938627960971091
2023-04-09,1057937.65,1077311.8,7,1.0,2023-04-09,2023-04-15,13039319.0,1.0961857846113623,1150797.585010975,1150797.585010975,1.0877744874766249
2023-04-16,1041148.6,1062617.24,7,1.0,2023-04-16,2023-04-22,12003978.0,1.0091470300241547,1059422.5735964335,1059422.5735964335,1.017551743907098
2023-04-23,1111361.55,1121837.8599999999,7,1.0,2023-04-23,2023-04-29,10377590.0,0.8724203032784938,915884.1432005799,915884.1432005799,0.8241099786118926
2023-04-30,1079274.95,1114293.64,7,1.0,2023-04-30,2023-05-06,11592922.0,0.9745904903859107,1023144.4326824584,1023144.4326824584,0.9479923838521949
2023-05-07,913321.5800000001,1039319.7,7,1.0,2023-05-07,2023-05-13,10890228.0,0.9155166097843473,961127.500801146,961127.500801146,1.0523429226331715
2023-05-14,1003249.31,1019424.4299999999,7,1.0,2023-05-14,2023-05-20,10092015.0,0.8484126648856921,890680.448104271,890680.448104271,0.8877957245784409
2023-05-21,755067.17,786910.08,7,1.0,2023-05-21,2023-05-27,10704997.0,0.89994466242503,944779.7615158991,944779.7615158991,1.2512526024881985
2023-05-28,1239925.48,1287639.39,7,1.0,2023-05-28,2023-06-03,13815212.0,1.161413338057939,1219274.7647338514,1219274.7647338514,0.983345196466042
2023-06-04,847430.1599999999,857707.86,7,1.0,2023-06-04,2023-06-10,11686845.0,0.982486382606053,1031433.6969896655,1031433.6969896655,1.2171312111309156
2023-06-11,966690.4099999999,1031112.0099999999,7,1.0,2023-06-11,2023-06-17,11651800.0,0.9795402294502245,1028340.766954998,1028340.766954998,1.0637746648950392
2023-06-18,943776.37,968731.23,7,1.0,2023-06-18,2023-06-24,12295713.0,1.0336725255560606,1085169.9253916596,1085169.9253916596,1.1498167997061206
2023-06-25,969909.98,1001619.15,7,1.0,2023-06-25,2023-07-01,12123144.0,1.0191650436342978,1069939.6830417516,1069939.6830417516,1.1031329763631792
2023-07-02,874210.85,900510.37,7,1.0,2023-07-02,2023-07-08,11189611.0,0.9406850552188293,987549.8341602226,987549.8341602226,1.1296471945643578
2023-07-09,912481.7699999999,940060.46,7,1.0,2023-07-09,2023-07-15,10919162.0,0.9179490251192238,963681.0986788196,963681.0986788196,1.0561099743163305
2023-07-16,834803.64,858449.45,7,1.0,2023-07-16,2023-07-22,10120926.0,0.8508431466630686,893232.0160949193,893232.0160949193,1.0699905622056456
2023-07-23,1032675.89,1051628.96,7,1.0,2023-07-23,2023-07-29,11917284.0,1.0018588633330034,1051771.3116068356,1051771.3116068356,1.0184912050254562
